event_change,start_time,end_time,duration,state,most_implicated_var
129,2017-01-02 06:25:00,2017-01-02 06:35:00,0.16666666666666666,Degraded,Cyclone_Inlet_Gas_Temp
131,2017-01-02 06:55:00,2017-01-02 07:00:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
133,2017-01-02 07:20:00,2017-01-02 07:20:00,0.0,Degraded,
135,2017-01-02 07:30:00,2017-01-02 07:30:00,0.0,Degraded,
137,2017-01-02 07:40:00,2017-01-02 07:40:00,0.0,Degraded,
139,2017-01-02 07:55:00,2017-01-02 07:55:00,0.0,Degraded,
141,2017-01-02 08:05:00,2017-01-02 08:10:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
143,2017-01-02 08:30:00,2017-01-02 08:50:00,0.3333333333333333,Degraded,Cyclone_Material_Temp
145,2017-01-02 09:10:00,2017-01-02 09:20:00,0.16666666666666666,Degraded,Cyclone_Inlet_Gas_Temp
147,2017-01-02 09:35:00,2017-01-02 09:35:00,0.0,Degraded,
149,2017-01-02 09:45:00,2017-01-02 09:45:00,0.0,Degraded,
151,2017-01-02 09:55:00,2017-01-02 09:55:00,0.0,Degraded,
153,2017-01-02 10:10:00,2017-01-02 10:15:00,0.08333333333333333,Degraded,Cyclone_Inlet_Gas_Temp
155,2017-01-02 10:30:00,2017-01-02 10:50:00,0.3333333333333333,Degraded,Cyclone_Material_Temp
157,2017-01-02 11:10:00,2017-01-02 11:10:00,0.0,Degraded,
159,2017-01-02 11:55:00,2017-01-02 11:55:00,0.0,Degraded,
161,2017-01-02 12:35:00,2017-01-02 12:35:00,0.0,Degraded,
163,2017-01-02 12:45:00,2017-01-02 12:50:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
165,2017-01-02 13:00:00,2017-01-02 13:00:00,0.0,Degraded,
167,2017-01-02 13:10:00,2017-01-02 13:10:00,0.0,Degraded,
169,2017-01-02 13:25:00,2017-01-02 13:25:00,0.0,Degraded,
171,2017-01-02 13:45:00,2017-01-02 13:50:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
173,2017-01-02 14:00:00,2017-01-02 14:00:00,0.0,Degraded,
175,2017-01-02 14:10:00,2017-01-02 14:15:00,0.08333333333333333,Degraded,Cyclone_Inlet_Gas_Temp
177,2017-01-02 14:25:00,2017-01-02 14:35:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
179,2017-01-02 15:05:00,2017-01-02 15:05:00,0.0,Degraded,
181,2017-01-02 15:15:00,2017-01-02 15:15:00,0.0,Degraded,
183,2017-01-02 15:35:00,2017-01-02 15:35:00,0.0,Degraded,
185,2017-01-02 15:55:00,2017-01-02 15:55:00,0.0,Degraded,
187,2017-01-02 16:20:00,2017-01-02 16:20:00,0.0,Degraded,
189,2017-01-02 16:40:00,2017-01-02 16:40:00,0.0,Degraded,
191,2017-01-02 16:55:00,2017-01-02 16:55:00,0.0,Degraded,
193,2017-01-02 17:25:00,2017-01-02 17:25:00,0.0,Degraded,
195,2017-01-02 17:35:00,2017-01-02 17:35:00,0.0,Degraded,
197,2017-01-02 17:45:00,2017-01-02 17:45:00,0.0,Degraded,
199,2017-01-02 17:55:00,2017-01-02 18:00:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
201,2017-01-02 18:15:00,2017-01-02 18:15:00,0.0,Degraded,
203,2017-01-02 18:30:00,2017-01-02 18:35:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
205,2017-01-02 18:45:00,2017-01-02 18:55:00,0.16666666666666666,Degraded,Cyclone_Material_Temp
207,2017-01-02 19:20:00,2017-01-02 19:20:00,0.0,Degraded,
209,2017-01-02 19:35:00,2017-01-02 19:35:00,0.0,Degraded,
211,2017-01-02 19:55:00,2017-01-02 20:00:00,0.08333333333333333,Degraded,Cyclone_Gas_Outlet_Temp
213,2017-01-02 20:35:00,2017-01-02 20:35:00,0.0,Degraded,
215,2017-01-02 20:45:00,2017-01-02 20:45:00,0.0,Degraded,
217,2017-01-02 21:00:00,2017-01-02 21:00:00,0.0,Degraded,
219,2017-01-02 21:15:00,2017-01-02 21:20:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
221,2017-01-02 22:20:00,2017-01-02 22:20:00,0.0,Degraded,
223,2017-01-02 22:30:00,2017-01-02 22:30:00,0.0,Degraded,
225,2017-01-02 23:00:00,2017-01-02 23:00:00,0.0,Degraded,
227,2017-01-02 23:15:00,2017-01-02 23:20:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
229,2017-01-02 23:30:00,2017-01-02 23:30:00,0.0,Degraded,
231,2017-01-02 23:40:00,2017-01-02 23:50:00,0.16666666666666666,Degraded,Cyclone_cone_draft
233,2017-01-03 00:15:00,2017-01-03 00:15:00,0.0,Degraded,
235,2017-01-03 01:15:00,2017-01-03 01:15:00,0.0,Degraded,
237,2017-01-03 02:15:00,2017-01-03 02:15:00,0.0,Degraded,
239,2017-01-03 02:45:00,2017-01-03 02:45:00,0.0,Degraded,
241,2017-01-03 03:25:00,2017-01-03 03:25:00,0.0,Degraded,
243,2017-01-03 03:45:00,2017-01-03 03:45:00,0.0,Degraded,
245,2017-01-03 04:00:00,2017-01-03 04:05:00,0.08333333333333333,Degraded,Cyclone_Material_Temp
247,2017-01-03 04:30:00,2017-01-03 04:30:00,0.0,Degraded,
249,2017-01-03 04:50:00,2017-01-03 04:50:00,0.0,Degraded,
251,2017-01-03 05:15:00,2017-01-03 05:15:00,0.0,Degraded,
253,2017-01-03 05:25:00,2017-01-03 05:30:00,0.08333333333333333,Degraded,Cyclone_cone_draft
255,2017-01-03 06:00:00,2017-01-03 06:00:00,0.0,Degraded,
257,2017-01-03 06:15:00,2017-01-03 06:15:00,0.0,Degraded,
259,2017-01-03 06:30:00,2017-01-03 06:30:00,0.0,Degraded,
261,2017-01-03 07:35:00,2017-01-03 07:35:00,0.0,Degraded,
263,2017-01-03 07:55:00,2017-01-03 07:55:00,0.0,Degraded,
265,2017-01-03 08:20:00,2017-01-03 08:20:00,0.0,Degraded,
267,2017-01-03 09:10:00,2017-01-03 09:10:00,0.0,Degraded,
269,2017-01-03 09:40:00,2017-01-03 09:40:00,0.0,Degraded,
