time,true_value,persistence_pred,arima_pred
2019-05-23 07:35:00,879.32,931.78,887.8629619311968
2019-05-23 07:40:00,892.17,931.78,886.2820696570532
2019-05-23 07:45:00,950.67,931.78,886.1064717795396
2019-05-23 07:50:00,858.67,931.78,886.2100140297425
2019-05-23 07:55:00,895.26,931.78,886.1076190156047
2019-05-23 08:00:00,868.02,931.78,886.2062630987128
2019-05-23 08:05:00,887.18,931.78,886.1111338081237
2019-05-23 08:10:00,883.96,931.78,886.2028697172118
2019-05-23 08:15:00,888.81,931.78,886.114405995429
2019-05-23 08:20:00,870.18,931.78,886.1997142419381
2019-05-23 08:25:00,881.35,931.78,886.1174489155942
2019-05-23 08:30:00,871.68,931.78,886.1967798618354
2019-05-23 08:35:00,874.3,931.78,886.1202786272175
2019-05-23 08:40:00,878.69,931.78,886.1940510851971
2019-05-23 08:45:00,858.26,931.78,886.1229100691922
2019-05-23 08:50:00,853.76,931.78,886.1915135059871
2019-05-23 08:55:00,873.09,931.78,886.1253571336948
2019-05-23 09:00:00,924.18,931.78,886.1891537275588
2019-05-23 09:05:00,839.85,931.78,886.1276327395175
2019-05-23 09:10:00,1021.94,931.78,886.1869592919295
2019-05-23 09:15:00,901.25,931.78,886.1297489002706
2019-05-23 09:20:00,887.72,931.78,886.1849186140109
2019-05-23 09:25:00,903.8,931.78,886.1317167878053
2019-05-23 09:30:00,867.34,931.78,886.1830209204483
2019-05-23 09:35:00,887.69,931.78,886.1335467911941
2019-05-23 09:40:00,869.89,931.78,886.1812561927444
2019-05-23 09:45:00,881.98,931.78,886.1352485715776
2019-05-23 09:50:00,866.31,931.78,886.179615114369
2019-05-23 09:55:00,879.53,931.78,886.1368311131679
2019-05-23 10:00:00,902.2,931.78,886.1780890215738
2019-05-23 10:05:00,890.96,931.78,886.13830277068
2019-05-23 10:10:00,912.92,931.78,886.1766698576544
2019-05-23 10:15:00,928.04,931.78,886.139671313438
2019-05-23 10:20:00,911.56,931.78,886.1753501304158
2019-05-23 10:25:00,878.23,931.78,886.1409439663925
2019-05-23 10:30:00,920.98,931.78,886.1741228726196
2019-05-23 10:35:00,868.89,931.78,886.1421274482624
2019-05-23 10:40:00,872.22,931.78,886.1729816052015
2019-05-23 10:45:00,940.8,931.78,886.143228007006
2019-05-23 10:50:00,913.66,931.78,886.171920303066
2019-05-23 10:55:00,897.48,931.78,886.144251452805
2019-05-23 11:00:00,871.45,931.78,886.170933363279
2019-05-23 11:05:00,885.07,931.78,886.1452031887388
2019-05-23 11:10:00,887.47,931.78,886.1700155754872
2019-05-23 11:15:00,898.77,931.78,886.1460882393087
2019-05-23 11:20:00,860.16,931.78,886.169162094412
2019-05-23 11:25:00,888.11,931.78,886.1469112769639
2019-05-23 11:30:00,852.22,931.78,886.1683684142689
2019-05-23 11:35:00,862.44,931.78,886.1476766467688
2019-05-23 11:40:00,943.49,931.78,886.167630344981
2019-05-23 11:45:00,864.95,931.78,886.1483883893413
2019-05-23 11:50:00,926.59,931.78,886.1669439900577
2019-05-23 11:55:00,837.71,931.78,886.1490502621856
2019-05-23 12:00:00,879.32,931.78,886.166305726024
2019-05-23 12:05:00,914.88,931.78,886.1496657595281
2019-05-23 12:10:00,917.15,931.78,886.1657121832915
